GHG Scopes and categories L1;GHG Scopes and categories L2;Activity L1;Activity L2;Region;Activity unit;Year;Readable unique string;Emission factor [kg CO2e/unit];Emission factor (location-based) [kg CO2e/unit];Emission factor (market-based) [kg CO2e/unit];Source;Description;Link
Scope 1;Fuel combustion;Liquid fuels;Aviation turbine fuel;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Aviation-turbine-fuel_GLOBAL_litres_2022;2.55;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Aviation turbine fuel;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Aviation-turbine-fuel_GLOBAL_tonnes_2022;3181.43;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Burning oil;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Burning-oil_GLOBAL_kWh-(Gross-CV)_2022;0.25;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Burning oil;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Burning-oil_GLOBAL_kWh-(Net-CV)_2022;0.26;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Burning oil;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Burning-oil_GLOBAL_litres_2022;2.54;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Burning oil;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Burning-oil_GLOBAL_tonnes_2022;3165.01;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (100% mineral diesel);GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(100%-mineral-diesel)_GLOBAL_kWh-(Gross-CV)_2022;0.25;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (100% mineral diesel);GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(100%-mineral-diesel)_GLOBAL_kWh-(Net-CV)_2022;0.27;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (100% mineral diesel);GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(100%-mineral-diesel)_GLOBAL_litres_2022;2.7;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (100% mineral diesel);GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(100%-mineral-diesel)_GLOBAL_tonnes_2022;3208.76;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (average biofuel blend);GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(average-biofuel-blend)_GLOBAL_kWh-(Gross-CV)_2022;0.24;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (average biofuel blend);GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(average-biofuel-blend)_GLOBAL_kWh-(Net-CV)_2022;0.26;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (average biofuel blend);GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(average-biofuel-blend)_GLOBAL_litres_2022;2.56;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Diesel (average biofuel blend);GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Diesel-(average-biofuel-blend)_GLOBAL_tonnes_2022;3032.89;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Fuel oil;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Fuel-oil_GLOBAL_kWh-(Gross-CV)_2022;0.27;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Fuel oil;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Fuel-oil_GLOBAL_kWh-(Net-CV)_2022;0.29;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Fuel oil;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Fuel-oil_GLOBAL_litres_2022;3.18;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Fuel oil;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Fuel-oil_GLOBAL_tonnes_2022;3229.2;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Gas oil;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Gas-oil_GLOBAL_kWh-(Gross-CV)_2022;0.26;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Gas oil;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Gas-oil_GLOBAL_kWh-(Net-CV)_2022;0.27;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Gas oil;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Gas-oil_GLOBAL_litres_2022;2.76;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Gas oil;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Gas-oil_GLOBAL_tonnes_2022;3230.28;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Lubricants;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Lubricants_GLOBAL_kWh-(Gross-CV)_2022;0.26;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Lubricants;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Lubricants_GLOBAL_kWh-(Net-CV)_2022;0.28;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Lubricants;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Lubricants_GLOBAL_litres_2022;2.75;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Lubricants;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Lubricants_GLOBAL_tonnes_2022;3181.44;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine fuel oil;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-fuel-oil_GLOBAL_kWh-(Gross-CV)_2022;0.26;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine fuel oil;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-fuel-oil_GLOBAL_kWh-(Net-CV)_2022;0.28;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine fuel oil;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-fuel-oil_GLOBAL_litres_2022;3.11;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine fuel oil;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-fuel-oil_GLOBAL_tonnes_2022;3159.5;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine gas oil;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-gas-oil_GLOBAL_kWh-(Gross-CV)_2022;0.26;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine gas oil;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-gas-oil_GLOBAL_kWh-(Net-CV)_2022;0.27;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine gas oil;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-gas-oil_GLOBAL_litres_2022;2.78;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Marine gas oil;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Marine-gas-oil_GLOBAL_tonnes_2022;3249.99;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Naphtha;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Naphtha_GLOBAL_kWh-(Gross-CV)_2022;0.24;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Naphtha;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Naphtha_GLOBAL_kWh-(Net-CV)_2022;0.25;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Naphtha;GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Naphtha_GLOBAL_litres_2022;2.12;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Naphtha;GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Naphtha_GLOBAL_tonnes_2022;3142.87;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (100% mineral petrol);GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(100%-mineral-petrol)_GLOBAL_kWh-(Gross-CV)_2022;0.24;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (100% mineral petrol);GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(100%-mineral-petrol)_GLOBAL_kWh-(Net-CV)_2022;0.25;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (100% mineral petrol);GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(100%-mineral-petrol)_GLOBAL_litres_2022;2.34;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (100% mineral petrol);GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(100%-mineral-petrol)_GLOBAL_tonnes_2022;3153.9;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (average biofuel blend);GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(average-biofuel-blend)_GLOBAL_kWh-(Gross-CV)_2022;0.23;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (average biofuel blend);GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(average-biofuel-blend)_GLOBAL_kWh-(Net-CV)_2022;0.24;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (average biofuel blend);GLOBAL;litres;2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(average-biofuel-blend)_GLOBAL_litres_2022;2.16;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Petrol (average biofuel blend);GLOBAL;tonnes;2022;Scope1_Fuel-combustion_Liquid-fuels_Petrol-(average-biofuel-blend)_GLOBAL_tonnes_2022;2903.08;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Processed fuel oils - distillate oil;GLOBAL;kWh (Gross CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Processed-fuel-oils---distillate-oil_GLOBAL_kWh-(Gross-CV)_2022;0.26;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
Scope 1;Fuel combustion;Liquid fuels;Processed fuel oils - distillate oil;GLOBAL;kWh (Net CV);2022;Scope1_Fuel-combustion_Liquid-fuels_Processed-fuel-oils---distillate-oil_GLOBAL_kWh-(Net-CV)_2022;0.27;;;BEIS/DEFRA;The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ;https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022
